date,heatindex_max,heatindex_min,heatindex_mea,heatwave_has,heatwaveduration_sum,heatwaveintensity_ind,coldwave_has,coldwaveduration_sum,coldwaveintensity_ind,spi_ind,elnino_ind
2023-06-21,23.500000000000007,12.4,16.817391304347826,0,0,0.0,0,0,0.0,0.956233514801662,0.77
2023-06-22,24.6,14.5,21.008333333333336,0,0,0.0,0,0,0.0,0.9401925749008223,0.77
2023-06-23,25.0,14.8,20.976923076923075,0,0,0.0,0,0,0.0,0.9241227622608968,0.77
2023-06-24,25.500000000000004,14.7,20.8125,0,0,0.0,0,0,0.0,0.9080239389461601,0.77
2023-06-25,26.599999999999998,15.399999999999999,21.81557810829452,0,0,0.0,0,0,0.0,0.9080239389461601,0.77
2023-06-26,26.199999999999996,15.599999999999998,20.95294117647059,0,0,0.0,0,0,0.0,0.9080239389461601,0.77
2023-06-27,25.299999999999994,13.2,19.736842105263158,0,0,0.0,0,0,0.0,0.8108139165018854,0.77
2023-06-28,26.1,14.000000000000002,19.742857142857144,0,0,0.0,0,0,0.0,0.6795144733389835,0.77
2023-06-29,19.300000000000004,14.4,16.794999999999998,0,0,0.0,0,0,0.0,0.9080239389461601,0.77
2023-06-30,19.700000000000003,14.8,16.291666666666668,0,0,0.0,0,0,0.0,-2.5493045708431543,0.77
2023-07-01,23.299999999999997,14.3,16.900000000000002,0,0,0.0,0,0,0.0,0.7681387799693001,1.07
2023-07-02,18.100000000000005,12.7,15.191666666666668,0,0,0.0,0,0,0.0,0.7858648569192959,1.07
2023-07-03,16.3,12.7,14.216666666666667,0,0,0.0,0,0,0.0,0.8386635745284059,1.07
2023-07-04,19.899999999999995,9.700000000000001,13.779166666666667,0,0,0.0,0,0,0.0,0.8211266550874469,1.07
2023-07-05,23.6,11.300000000000002,16.216666666666665,0,0,0.0,0,0,0.0,0.7858648569192959,1.07
2023-07-06,24.0,13.699999999999998,20.689999999999998,0,0,0.0,0,0,0.0,0.7681387799693001,1.07
2023-07-07,24.700000000000003,14.4,21.35,0,0,0.0,0,0,0.0,0.7503484369820275,1.07
2023-07-08,26.000000000000007,14.7,22.592307692307696,0,0,0.0,0,0,0.0,0.7503484369820275,1.07
2023-07-09,19.700000000000003,15.900000000000002,16.875,0,0,0.0,0,0,0.0,1.4948059400210585,1.07
2023-07-10,22.9,15.599999999999998,17.845833333333335,0,0,0.0,0,0,0.0,1.5561332085759823,1.07
2023-07-11,26.599999999999998,16.8,19.783333333333335,0,0,0.0,0,0,0.0,1.5561332085759823,1.07
2023-07-12,27.12101463745773,16.7,20.524978771442225,0,0,0.0,0,0,0.0,1.5561332085759823,1.07
2023-07-13,25.799999999999997,18.000000000000004,21.650000000000002,0,0,0.0,0,0,0.0,1.510203032609528,1.07
2023-07-14,18.500000000000007,10.6,13.560869565217393,0,0,0.0,1,3,0.30303030303030304,0.47533381867041197,1.07
2023-07-15,19.0,10.1,13.652380952380952,0,0,0.0,1,3,0.30303030303030304,-0.831766155309364,1.07
2023-07-16,24.0,10.300000000000002,16.605,0,0,0.0,1,3,0.30303030303030304,-0.8832654931388244,1.07
2023-07-17,21.5,14.099999999999998,16.395833333333332,0,0,0.0,0,0,0.0,-0.909272965921962,1.07
2023-07-18,16.8,13.899999999999997,14.958333333333334,0,0,0.0,0,0,0.0,-0.8832654931388244,1.07
2023-07-19,15.999999999999998,13.400000000000002,14.129166666666665,0,0,0.0,0,0,0.0,-0.7058940669637382,1.07
2023-07-20,18.6,13.8,15.183333333333332,0,0,0.0,0,0,0.0,-0.6566403303936194,1.07
2023-07-21,22.5,14.6,16.804166666666667,0,0,0.0,0,0,0.0,-0.6811914816171163,1.07
2023-07-22,21.599999999999998,14.099999999999998,16.404166666666665,0,0,0.0,0,0,0.0,-0.6811914816171163,1.07
